18-07-05 17:59:34 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:36 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:45 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:45 element.py{funcName:css}[line:105] INFO Css 元素定位：.login-button
18-07-05 17:59:45 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-05 17:59:52 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:54 element.py{funcName:openurl}[line:35] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-05 17:59:55 element.py{funcName:windowMax}[line:48] INFO 浏览器最大化
18-07-05 17:59:55 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:55 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:55 element.py{funcName:name}[line:87] INFO Name 元素定位：username
18-07-05 17:59:55 element.py{funcName:name}[line:87] INFO Name 元素定位：password
18-07-05 17:59:55 element.py{funcName:css}[line:105] INFO Css 元素定位：.login-button
18-07-05 17:59:57 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'财务管理')]
18-07-05 17:59:58 element.py{funcName:text}[line:111] INFO Text 元素定位：人工存提
18-07-05 17:59:59 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'所有用户')]
18-07-05 18:00:00 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:00:00 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:01 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:01 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:02 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:00:02 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:00:03 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:00:04 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'指定用户')]
18-07-05 18:00:04 element.py{funcName:css}[line:105] INFO Css 元素定位：.up-btn
18-07-05 18:00:17 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:00:17 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:18 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:18 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:20 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'用户等级')]
18-07-05 18:00:21 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'黄金VIP')]
18-07-05 18:00:22 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:00:22 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:23 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:23 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:25 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'所有用户')]
18-07-05 18:00:26 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:00:26 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:27 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:27 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:27 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:00:28 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:00:28 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:00:31 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'指定用户')]
18-07-05 18:00:31 element.py{funcName:css}[line:105] INFO Css 元素定位：.up-btn
18-07-05 18:00:43 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:00:44 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:45 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:45 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:47 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'用户等级')]
18-07-05 18:00:48 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'黄金VIP')]
18-07-05 18:00:48 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:00:48 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:49 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:49 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:51 element.py{funcName:css}[line:105] INFO Css 元素定位：.check-li li:nth-of-type(2)
18-07-05 18:00:52 element.py{funcName:text}[line:111] INFO Text 元素定位：人工存提
18-07-05 18:00:53 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'所有用户')]
18-07-05 18:00:54 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:00:54 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:00:55 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:00:55 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:00:56 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:00:56 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:00:58 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'指定用户')]
18-07-05 18:00:58 element.py{funcName:css}[line:105] INFO Css 元素定位：.up-btn
18-07-05 18:01:11 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:01:11 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:12 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:12 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:14 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'用户等级')]
18-07-05 18:01:15 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'黄金VIP')]
18-07-05 18:01:15 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:01:15 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:16 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:16 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:18 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'所有用户')]
18-07-05 18:01:19 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:01:19 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:20 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:20 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:21 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:01:21 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:01:22 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:01:22 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第5次寻找
18-07-05 18:01:24 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'指定用户')]
18-07-05 18:01:24 element.py{funcName:css}[line:105] INFO Css 元素定位：.up-btn
18-07-05 18:01:36 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:01:36 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:37 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:38 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:39 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'用户等级')]
18-07-05 18:01:40 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'黄金VIP')]
18-07-05 18:01:41 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'彩金')]
18-07-05 18:01:41 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:42 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:42 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:44 element.py{funcName:css}[line:105] INFO Css 元素定位：.check-li li:nth-of-type(3)
18-07-05 18:01:45 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'所有用户')]
18-07-05 18:01:46 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:01:46 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:01:47 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:01:47 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:01:48 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:01:48 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:01:49 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:01:49 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第5次寻找
18-07-05 18:01:51 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'指定用户')]
18-07-05 18:01:51 element.py{funcName:css}[line:105] INFO Css 元素定位：.up-btn
18-07-05 18:02:03 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:02:03 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:02:04 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:02:05 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:02:05 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:02:06 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:02:06 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:02:07 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第5次寻找
18-07-05 18:02:08 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'用户等级')]
18-07-05 18:02:09 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'黄金VIP')]
18-07-05 18:02:10 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：//span[contains(text(),'可提现余额')]
18-07-05 18:02:10 element.py{funcName:id}[line:99] INFO Id 元素定位：amount
18-07-05 18:02:11 element.py{funcName:xpath}[line:117] INFO Xpath 元素定位：html/body/div[1]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div[3]/button
18-07-05 18:02:11 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第1次寻找
18-07-05 18:02:12 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第2次寻找
18-07-05 18:02:12 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第3次寻找
18-07-05 18:02:13 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第4次寻找
18-07-05 18:02:13 element.py{funcName:trywait_assert_xpath}[line:229] INFO 等待断言:   //span[contains(text(),'提交成功')]:元素未找到,当前第5次寻找
18-07-05 18:02:22 run.py{funcName:<module>}[line:55] INFO 向"leiyonghn@163.com,leiyong711@163.com,1804882096@qq.com" 发送测试报告邮件
18-07-05 18:02:22 run.py{funcName:<module>}[line:56] INFO 测试结束
18-07-06 12:50:11 element.py{funcName:openurl}[line:39] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-06 12:50:12 element.py{funcName:windowMax}[line:52] INFO 浏览器最大化
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:14 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:14 element.py{funcName:css}[line:109] INFO Css 元素定位：.login-button
18-07-06 12:50:14 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-06 12:50:15 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第2次寻找
18-07-06 12:50:15 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第3次寻找
18-07-06 12:50:16 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第4次寻找
18-07-06 12:50:16 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第5次寻找
18-07-06 12:50:17 element.py{funcName:openurl}[line:39] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-06 12:50:17 element.py{funcName:windowMax}[line:52] INFO 浏览器最大化
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:17 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:17 element.py{funcName:css}[line:109] INFO Css 元素定位：.login-button
18-07-06 12:50:17 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-06 12:50:18 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第2次寻找
18-07-06 12:50:18 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第3次寻找
18-07-06 12:50:19 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第4次寻找
18-07-06 12:50:19 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第5次寻找
18-07-06 12:50:20 element.py{funcName:openurl}[line:39] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-06 12:50:20 element.py{funcName:windowMax}[line:52] INFO 浏览器最大化
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:20 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:21 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:21 element.py{funcName:css}[line:109] INFO Css 元素定位：.login-button
18-07-06 12:50:21 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-06 12:50:22 element.py{funcName:openurl}[line:39] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-06 12:50:22 element.py{funcName:windowMax}[line:52] INFO 浏览器最大化
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:22 element.py{funcName:name}[line:91] INFO Name 元素定位：password
18-07-06 12:50:22 element.py{funcName:css}[line:109] INFO Css 元素定位：.login-button
18-07-06 12:50:22 element.py{funcName:trywait_assert_xpath}[line:233] INFO 等待断言:   //span[text()='商户管理平台']:元素未找到,当前第1次寻找
18-07-06 12:50:31 run.py{funcName:<module>}[line:58] INFO 向"leiyonghn@163.com,leiyong711@163.com,1804882096@qq.com" 发送测试报告邮件
18-07-06 12:50:31 run.py{funcName:<module>}[line:59] INFO 测试结束
18-07-06 12:50:47 element.py{funcName:openurl}[line:39] INFO 打开网页：http://192.168.1.190/mayi-Backstage/#/login
18-07-06 12:50:48 element.py{funcName:windowMax}[line:52] INFO 浏览器最大化
18-07-06 12:50:50 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:50 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:50 element.py{funcName:name}[line:91] INFO Name 元素定位：username
18-07-06 12:50:50 element.py{funcName:name}[line:91] INFO Name 元素定位：password
